message,label,fraud_type
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
We detected suspicious login. Please share the OTP sent to your mobile to secure your Kotak Mahindra Bank account.,Scam,OTP Fraud
"Dear customer, complete your e-KYC at http://sbi-secure-login.in within 24 hours to avoid permanent account block.",Scam,KYC Update Scam
Your Kotak Mahindra Bank KYC has expired. Click http://income-tax-refund.xyz to update immediately or account will be suspended.,Scam,KYC Update Scam
"Earn Rs. 5000 daily by liking YouTube videos. Join now, small joining fee required for training kit.",Scam,Job Scam
Your PAN card will be deactivated. Update details at http://sbi-secure-login.in within 2 hours to avoid penalty.,Scam,Phishing Link
URGENT: Axis Bank KYC update pending. Share the 6 digit OTP now or your account will be frozen today.,Scam,OTP Fraud
Your loan application is approved. Pay insurance amount of Rs.4999 to get funds credited today.,Scam,Loan Scam
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
Your monthly mobile recharge of Rs. 299 was successful. Validity extended till next month.,Safe,Not Applicable
"Congratulations! You have won Rs. 1,00,000 in the KBC Lucky Draw. Pay processing fee to claim your prize.",Scam,Lottery Scam
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
Reminder: your electricity bill of Rs. 1200 is due on the 15th. Pay via official app or website.,Safe,Not Applicable
"Hi Sneha, your appointment with Dr. Sharma is confirmed for tomorrow at 5 PM.",Safe,Not Applicable
"Congratulations Amit, you are selected for a part-time job. Pay registration charges to start earning today.",Scam,Job Scam
Meeting rescheduled to 3 PM tomorrow in conference room 2. Please confirm your availability.,Safe,Not Applicable
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
"Congratulations Rohit, you have successfully completed your Infosys certification course.",Safe,Not Applicable
"Your ICICI Bank credit card bill of Rs. 3,450 is generated. Due date is the 20th of this month.",Safe,Not Applicable
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
"Dear winner, your mobile number has won a lottery of Rs. 50,000. Send your bank details to claim now.",Scam,Lottery Scam
"Hi, just checking if we are still on for lunch tomorrow at 1 PM?",Safe,Not Applicable
